Budget_initial,Source_financement,Estimation_ROI,Taille_marche,Demande_actuelle,Nombre_concurrents,Avantage_concurrentiel,Impact_social,Impact_environnemental,Conformite_normes,Prevision_rentabilite,Capacite_fonds,Score_faisabilite
<50k,Autre,<1 an,Régional,Forte,>5,Aucun,Autre,Neutre,Non,>3 ans,Difficile,94
50k-100k,Prêt bancaire,<1 an,Local,Faible,<5,Innovation,Amélioration conditions de vie,Polluant,Non,<1 an,Difficile,89
>100k,Autre,>3 ans,Local,Modérée,<5,Aucun,Aucun,Polluant,Oui,>3 ans,Difficile,44
<50k,Fonds propres,<1 an,Local,Modérée,Aucun,Aucun,Autre,Écologique,Non,<1 an,Facile,89
<50k,Investisseur,1-3 ans,International,Modérée,>5,Qualité,Autre,Écologique,Oui,>3 ans,Difficile,90
50k-100k,Fonds propres,>3 ans,Régional,Faible,Aucun,Aucun,Amélioration conditions de vie,Neutre,Non,>3 ans,Difficile,37
<50k,Prêt bancaire,<1 an,International,Forte,Aucun,Aucun,Création emplois,Polluant,Non,<1 an,Facile,59
<50k,Prêt bancaire,>3 ans,Local,Forte,<5,Prix,Autre,Neutre,Non,<1 an,Facile,75
>100k,Investisseur,>3 ans,National,Forte,<5,Innovation,Création emplois,Écologique,Oui,>3 ans,Facile,78
>100k,Autre,>3 ans,International,Faible,Aucun,Prix,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,77
50k-100k,Fonds propres,<1 an,National,Faible,Aucun,Prix,Autre,Écologique,Non,1-3 ans,Difficile,48
>100k,Prêt bancaire,>3 ans,Local,Modérée,<5,Qualité,Autre,Polluant,Non,1-3 ans,Facile,92
50k-100k,Prêt bancaire,>3 ans,International,Modérée,Aucun,Prix,Création emplois,Neutre,Oui,>3 ans,Difficile,94
50k-100k,Autre,<1 an,International,Modérée,<5,Prix,Aucun,Neutre,Non,1-3 ans,Difficile,57
50k-100k,Autre,1-3 ans,Régional,Modérée,>5,Innovation,Création emplois,Polluant,Oui,1-3 ans,Difficile,52
>100k,Prêt bancaire,1-3 ans,Régional,Faible,Aucun,Prix,Autre,Polluant,Non,1-3 ans,Difficile,64
>100k,Investisseur,1-3 ans,Local,Modérée,Aucun,Qualité,Création emplois,Écologique,Oui,1-3 ans,Facile,60
50k-100k,Autre,>3 ans,National,Modérée,>5,Innovation,Aucun,Neutre,Oui,>3 ans,Facile,63
<50k,Prêt bancaire,<1 an,Local,Modérée,<5,Aucun,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,39
50k-100k,Prêt bancaire,>3 ans,International,Forte,<5,Prix,Création emplois,Neutre,Oui,>3 ans,Difficile,66
<50k,Autre,>3 ans,International,Forte,<5,Aucun,Aucun,Polluant,Oui,<1 an,Facile,70
<50k,Fonds propres,<1 an,National,Forte,>5,Qualité,Autre,Polluant,Oui,<1 an,Difficile,89
<50k,Investisseur,1-3 ans,International,Forte,<5,Qualité,Création emplois,Écologique,Oui,1-3 ans,Difficile,80
50k-100k,Prêt bancaire,<1 an,National,Modérée,Aucun,Prix,Aucun,Neutre,Oui,1-3 ans,Facile,68
>100k,Fonds propres,<1 an,Local,Forte,>5,Innovation,Aucun,Neutre,Oui,>3 ans,Facile,78
<50k,Investisseur,<1 an,Régional,Forte,Aucun,Prix,Création emplois,Polluant,Oui,<1 an,Facile,43
<50k,Autre,>3 ans,Régional,Modérée,<5,Innovation,Création emplois,Neutre,Non,<1 an,Difficile,55
>100k,Fonds propres,1-3 ans,Régional,Faible,Aucun,Prix,Aucun,Neutre,Oui,1-3 ans,Facile,60
50k-100k,Autre,<1 an,Local,Forte,Aucun,Innovation,Création emplois,Écologique,Non,1-3 ans,Facile,36
>100k,Autre,>3 ans,International,Modérée,<5,Prix,Création emplois,Neutre,Non,>3 ans,Difficile,41
>100k,Autre,1-3 ans,Régional,Forte,<5,Innovation,Création emplois,Polluant,Oui,<1 an,Difficile,83
<50k,Autre,1-3 ans,International,Forte,>5,Innovation,Autre,Écologique,Oui,<1 an,Facile,34
50k-100k,Prêt bancaire,1-3 ans,National,Modérée,Aucun,Aucun,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,77
<50k,Fonds propres,>3 ans,National,Forte,Aucun,Prix,Aucun,Polluant,Non,<1 an,Difficile,80
>100k,Investisseur,1-3 ans,Régional,Faible,<5,Prix,Autre,Polluant,Oui,<1 an,Difficile,65
<50k,Fonds propres,1-3 ans,Régional,Faible,<5,Innovation,Autre,Polluant,Oui,<1 an,Difficile,88
<50k,Investisseur,<1 an,Régional,Faible,>5,Innovation,Création emplois,Neutre,Oui,1-3 ans,Difficile,71
50k-100k,Investisseur,1-3 ans,National,Forte,<5,Qualité,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,37
50k-100k,Autre,1-3 ans,Régional,Forte,>5,Prix,Autre,Polluant,Oui,>3 ans,Facile,56
>100k,Fonds propres,<1 an,International,Faible,Aucun,Qualité,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,75
>100k,Fonds propres,<1 an,International,Faible,Aucun,Innovation,Amélioration conditions de vie,Polluant,Oui,>3 ans,Difficile,73
<50k,Autre,<1 an,International,Faible,<5,Prix,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,96
50k-100k,Investisseur,<1 an,Local,Forte,<5,Qualité,Amélioration conditions de vie,Polluant,Non,<1 an,Difficile,96
50k-100k,Autre,>3 ans,International,Modérée,>5,Prix,Aucun,Écologique,Non,>3 ans,Difficile,99
<50k,Investisseur,<1 an,National,Faible,Aucun,Innovation,Création emplois,Neutre,Non,<1 an,Facile,77
>100k,Autre,1-3 ans,Local,Forte,>5,Prix,Aucun,Écologique,Oui,>3 ans,Difficile,37
50k-100k,Fonds propres,>3 ans,Local,Forte,>5,Innovation,Création emplois,Neutre,Oui,>3 ans,Difficile,76
50k-100k,Prêt bancaire,>3 ans,Local,Forte,>5,Aucun,Aucun,Polluant,Non,<1 an,Difficile,65
<50k,Autre,<1 an,Local,Faible,>5,Innovation,Aucun,Neutre,Non,>3 ans,Facile,95
>100k,Investisseur,1-3 ans,Régional,Modérée,>5,Prix,Autre,Neutre,Oui,<1 an,Difficile,38
50k-100k,Fonds propres,>3 ans,National,Forte,<5,Aucun,Autre,Polluant,Non,1-3 ans,Facile,100
<50k,Prêt bancaire,<1 an,National,Modérée,Aucun,Aucun,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,64
>100k,Autre,1-3 ans,Local,Faible,<5,Innovation,Amélioration conditions de vie,Polluant,Oui,>3 ans,Facile,83
>100k,Prêt bancaire,1-3 ans,International,Forte,>5,Innovation,Aucun,Polluant,Oui,1-3 ans,Facile,35
50k-100k,Prêt bancaire,<1 an,International,Forte,>5,Aucun,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,54
50k-100k,Fonds propres,>3 ans,National,Faible,>5,Aucun,Autre,Écologique,Oui,1-3 ans,Facile,70
>100k,Prêt bancaire,<1 an,Local,Forte,>5,Innovation,Autre,Neutre,Oui,>3 ans,Difficile,77
50k-100k,Fonds propres,>3 ans,Local,Modérée,<5,Aucun,Autre,Neutre,Non,<1 an,Facile,96
>100k,Prêt bancaire,>3 ans,Régional,Faible,>5,Qualité,Autre,Écologique,Oui,1-3 ans,Facile,47
50k-100k,Fonds propres,1-3 ans,National,Modérée,<5,Aucun,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Facile,82
<50k,Autre,1-3 ans,International,Faible,>5,Prix,Autre,Polluant,Oui,1-3 ans,Difficile,51
<50k,Autre,1-3 ans,National,Faible,>5,Innovation,Amélioration conditions de vie,Écologique,Oui,>3 ans,Facile,55
50k-100k,Autre,>3 ans,Régional,Forte,Aucun,Aucun,Aucun,Neutre,Non,>3 ans,Facile,78
<50k,Fonds propres,1-3 ans,Local,Faible,Aucun,Qualité,Aucun,Neutre,Non,>3 ans,Facile,92
>100k,Autre,<1 an,Régional,Faible,>5,Qualité,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,38
<50k,Investisseur,<1 an,Local,Forte,Aucun,Aucun,Amélioration conditions de vie,Neutre,Oui,<1 an,Facile,65
50k-100k,Prêt bancaire,>3 ans,Local,Modérée,Aucun,Innovation,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,96
<50k,Investisseur,1-3 ans,International,Modérée,Aucun,Qualité,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,51
>100k,Fonds propres,>3 ans,International,Forte,>5,Prix,Autre,Écologique,Non,<1 an,Difficile,66
>100k,Prêt bancaire,<1 an,Régional,Faible,>5,Innovation,Aucun,Neutre,Oui,<1 an,Facile,31
<50k,Prêt bancaire,>3 ans,Régional,Forte,Aucun,Aucun,Aucun,Écologique,Oui,>3 ans,Facile,54
<50k,Prêt bancaire,<1 an,National,Faible,<5,Qualité,Autre,Neutre,Non,1-3 ans,Facile,55
>100k,Autre,1-3 ans,International,Modérée,Aucun,Prix,Autre,Écologique,Non,>3 ans,Difficile,74
50k-100k,Fonds propres,1-3 ans,National,Forte,>5,Aucun,Autre,Écologique,Non,1-3 ans,Difficile,80
<50k,Fonds propres,>3 ans,Local,Forte,<5,Innovation,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,58
50k-100k,Fonds propres,>3 ans,National,Faible,Aucun,Aucun,Autre,Neutre,Oui,1-3 ans,Difficile,91
50k-100k,Fonds propres,>3 ans,Local,Forte,<5,Qualité,Autre,Polluant,Non,>3 ans,Difficile,84
50k-100k,Prêt bancaire,<1 an,Local,Forte,<5,Qualité,Création emplois,Polluant,Oui,<1 an,Facile,71
50k-100k,Fonds propres,<1 an,National,Faible,Aucun,Qualité,Autre,Écologique,Non,>3 ans,Facile,66
<50k,Autre,>3 ans,Local,Faible,>5,Qualité,Création emplois,Écologique,Oui,1-3 ans,Difficile,38
50k-100k,Autre,1-3 ans,Régional,Forte,<5,Qualité,Autre,Neutre,Oui,<1 an,Difficile,72
50k-100k,Autre,1-3 ans,Local,Faible,Aucun,Aucun,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,39
<50k,Fonds propres,<1 an,Local,Faible,Aucun,Prix,Autre,Écologique,Oui,1-3 ans,Facile,48
50k-100k,Autre,1-3 ans,National,Forte,<5,Qualité,Création emplois,Neutre,Oui,<1 an,Facile,63
50k-100k,Prêt bancaire,1-3 ans,Régional,Faible,>5,Aucun,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,62
<50k,Prêt bancaire,>3 ans,Régional,Faible,Aucun,Aucun,Autre,Écologique,Oui,1-3 ans,Facile,69
>100k,Investisseur,<1 an,International,Modérée,<5,Qualité,Autre,Écologique,Non,1-3 ans,Difficile,63
50k-100k,Investisseur,<1 an,Local,Forte,<5,Aucun,Autre,Écologique,Non,<1 an,Difficile,98
<50k,Prêt bancaire,>3 ans,Local,Forte,<5,Innovation,Autre,Écologique,Oui,<1 an,Difficile,65
<50k,Autre,1-3 ans,Local,Faible,<5,Prix,Amélioration conditions de vie,Neutre,Non,>3 ans,Difficile,93
>100k,Fonds propres,<1 an,Local,Faible,>5,Aucun,Autre,Polluant,Oui,<1 an,Difficile,65
>100k,Fonds propres,>3 ans,National,Modérée,Aucun,Prix,Création emplois,Neutre,Non,>3 ans,Facile,81
50k-100k,Investisseur,>3 ans,Local,Forte,<5,Prix,Amélioration conditions de vie,Neutre,Oui,1-3 ans,Difficile,80
>100k,Investisseur,>3 ans,Régional,Faible,Aucun,Aucun,Création emplois,Écologique,Non,>3 ans,Difficile,46
50k-100k,Prêt bancaire,1-3 ans,Local,Modérée,<5,Qualité,Amélioration conditions de vie,Écologique,Non,1-3 ans,Facile,91
>100k,Investisseur,1-3 ans,Régional,Modérée,>5,Qualité,Autre,Écologique,Oui,<1 an,Facile,87
>100k,Fonds propres,>3 ans,National,Modérée,<5,Aucun,Aucun,Écologique,Non,1-3 ans,Difficile,95
<50k,Prêt bancaire,<1 an,Local,Forte,<5,Qualité,Amélioration conditions de vie,Écologique,Non,<1 an,Facile,87
50k-100k,Investisseur,<1 an,International,Faible,<5,Aucun,Amélioration conditions de vie,Polluant,Oui,>3 ans,Facile,65
>100k,Investisseur,<1 an,National,Faible,Aucun,Aucun,Amélioration conditions de vie,Écologique,Non,1-3 ans,Facile,57
>100k,Investisseur,1-3 ans,National,Faible,Aucun,Innovation,Autre,Polluant,Oui,1-3 ans,Difficile,59
<50k,Prêt bancaire,1-3 ans,Local,Forte,>5,Aucun,Autre,Neutre,Non,<1 an,Difficile,77
<50k,Prêt bancaire,>3 ans,International,Forte,>5,Innovation,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,92
<50k,Prêt bancaire,1-3 ans,National,Forte,>5,Aucun,Création emplois,Écologique,Oui,<1 an,Facile,61
>100k,Prêt bancaire,>3 ans,National,Faible,<5,Aucun,Amélioration conditions de vie,Neutre,Non,1-3 ans,Facile,89
<50k,Fonds propres,1-3 ans,International,Forte,<5,Prix,Autre,Écologique,Non,1-3 ans,Facile,80
<50k,Autre,>3 ans,International,Forte,>5,Qualité,Création emplois,Polluant,Non,<1 an,Facile,100
>100k,Prêt bancaire,>3 ans,Régional,Faible,<5,Aucun,Amélioration conditions de vie,Neutre,Oui,>3 ans,Difficile,65
>100k,Prêt bancaire,<1 an,International,Forte,<5,Prix,Autre,Neutre,Non,>3 ans,Facile,59
>100k,Autre,<1 an,Local,Forte,<5,Innovation,Création emplois,Polluant,Oui,1-3 ans,Difficile,67
>100k,Autre,<1 an,Régional,Faible,Aucun,Aucun,Autre,Polluant,Non,<1 an,Difficile,97
50k-100k,Prêt bancaire,1-3 ans,Local,Faible,<5,Innovation,Amélioration conditions de vie,Neutre,Non,>3 ans,Difficile,45
>100k,Prêt bancaire,>3 ans,Local,Faible,Aucun,Aucun,Création emplois,Polluant,Non,1-3 ans,Difficile,77
<50k,Fonds propres,1-3 ans,International,Modérée,>5,Aucun,Autre,Polluant,Non,>3 ans,Difficile,61
>100k,Autre,<1 an,National,Faible,>5,Innovation,Aucun,Polluant,Oui,>3 ans,Facile,95
50k-100k,Investisseur,>3 ans,Régional,Faible,Aucun,Qualité,Création emplois,Neutre,Non,1-3 ans,Difficile,95
<50k,Autre,>3 ans,National,Faible,>5,Prix,Autre,Écologique,Non,>3 ans,Difficile,87
>100k,Autre,>3 ans,National,Faible,Aucun,Prix,Création emplois,Écologique,Non,1-3 ans,Facile,37
50k-100k,Autre,1-3 ans,Local,Modérée,Aucun,Qualité,Aucun,Neutre,Oui,1-3 ans,Facile,49
<50k,Prêt bancaire,1-3 ans,International,Forte,Aucun,Innovation,Autre,Neutre,Non,<1 an,Facile,85
<50k,Autre,>3 ans,Régional,Faible,Aucun,Aucun,Amélioration conditions de vie,Neutre,Oui,<1 an,Difficile,38
>100k,Prêt bancaire,>3 ans,Régional,Forte,>5,Aucun,Aucun,Polluant,Non,1-3 ans,Facile,30
50k-100k,Autre,<1 an,Local,Modérée,>5,Innovation,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,90
50k-100k,Investisseur,>3 ans,International,Faible,>5,Qualité,Création emplois,Écologique,Oui,1-3 ans,Facile,77
<50k,Autre,>3 ans,Local,Forte,Aucun,Qualité,Amélioration conditions de vie,Polluant,Non,>3 ans,Facile,58
50k-100k,Investisseur,<1 an,Régional,Forte,Aucun,Qualité,Amélioration conditions de vie,Polluant,Non,>3 ans,Difficile,62
>100k,Investisseur,1-3 ans,International,Faible,Aucun,Qualité,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,30
<50k,Autre,1-3 ans,Régional,Faible,>5,Aucun,Aucun,Neutre,Oui,>3 ans,Facile,71
50k-100k,Prêt bancaire,>3 ans,Régional,Faible,>5,Aucun,Autre,Écologique,Non,1-3 ans,Difficile,50
50k-100k,Prêt bancaire,1-3 ans,National,Modérée,<5,Prix,Aucun,Écologique,Non,<1 an,Difficile,48
>100k,Investisseur,>3 ans,National,Modérée,Aucun,Prix,Amélioration conditions de vie,Neutre,Non,<1 an,Difficile,41
50k-100k,Fonds propres,1-3 ans,National,Faible,Aucun,Innovation,Aucun,Polluant,Oui,<1 an,Difficile,46
50k-100k,Prêt bancaire,>3 ans,Régional,Faible,Aucun,Innovation,Création emplois,Neutre,Non,>3 ans,Difficile,73
50k-100k,Prêt bancaire,>3 ans,International,Forte,Aucun,Aucun,Autre,Écologique,Oui,>3 ans,Difficile,65
>100k,Prêt bancaire,>3 ans,National,Faible,Aucun,Qualité,Amélioration conditions de vie,Écologique,Non,>3 ans,Difficile,57
50k-100k,Fonds propres,<1 an,International,Modérée,Aucun,Prix,Création emplois,Neutre,Oui,1-3 ans,Facile,100
50k-100k,Prêt bancaire,1-3 ans,Local,Faible,Aucun,Prix,Aucun,Écologique,Non,>3 ans,Difficile,36
>100k,Fonds propres,1-3 ans,Local,Forte,<5,Qualité,Création emplois,Neutre,Non,1-3 ans,Difficile,79
>100k,Autre,>3 ans,Régional,Forte,<5,Aucun,Création emplois,Écologique,Non,<1 an,Facile,79
50k-100k,Fonds propres,1-3 ans,International,Faible,>5,Innovation,Autre,Écologique,Oui,<1 an,Difficile,81
<50k,Prêt bancaire,1-3 ans,Local,Modérée,>5,Aucun,Autre,Polluant,Oui,1-3 ans,Facile,96
<50k,Autre,<1 an,National,Modérée,Aucun,Prix,Création emplois,Polluant,Oui,1-3 ans,Difficile,35
>100k,Prêt bancaire,1-3 ans,National,Modérée,>5,Prix,Amélioration conditions de vie,Neutre,Non,>3 ans,Facile,79
>100k,Autre,1-3 ans,International,Faible,Aucun,Innovation,Autre,Polluant,Non,1-3 ans,Facile,39
>100k,Prêt bancaire,<1 an,National,Faible,Aucun,Qualité,Autre,Neutre,Oui,<1 an,Facile,82
>100k,Investisseur,<1 an,Local,Forte,Aucun,Prix,Autre,Polluant,Oui,<1 an,Difficile,49
>100k,Fonds propres,1-3 ans,International,Forte,>5,Aucun,Amélioration conditions de vie,Neutre,Non,>3 ans,Difficile,86
>100k,Prêt bancaire,>3 ans,Régional,Faible,Aucun,Aucun,Amélioration conditions de vie,Neutre,Non,1-3 ans,Difficile,66
50k-100k,Fonds propres,<1 an,National,Forte,<5,Qualité,Création emplois,Écologique,Non,<1 an,Facile,44
<50k,Fonds propres,1-3 ans,Local,Forte,Aucun,Prix,Autre,Écologique,Non,>3 ans,Facile,77
<50k,Fonds propres,<1 an,International,Forte,<5,Innovation,Aucun,Neutre,Oui,1-3 ans,Difficile,50
50k-100k,Investisseur,1-3 ans,Local,Faible,Aucun,Innovation,Autre,Neutre,Non,1-3 ans,Difficile,42
<50k,Autre,<1 an,Régional,Forte,<5,Prix,Amélioration conditions de vie,Écologique,Non,<1 an,Facile,89
<50k,Autre,1-3 ans,International,Forte,<5,Qualité,Aucun,Polluant,Oui,<1 an,Difficile,43
<50k,Fonds propres,<1 an,Régional,Faible,Aucun,Qualité,Autre,Polluant,Oui,>3 ans,Facile,34
>100k,Fonds propres,>3 ans,Local,Faible,<5,Aucun,Autre,Écologique,Oui,<1 an,Difficile,100
50k-100k,Fonds propres,1-3 ans,International,Faible,<5,Aucun,Autre,Neutre,Oui,1-3 ans,Difficile,79
50k-100k,Autre,<1 an,International,Modérée,Aucun,Qualité,Aucun,Écologique,Non,1-3 ans,Difficile,94
50k-100k,Autre,>3 ans,National,Forte,<5,Innovation,Aucun,Polluant,Non,>3 ans,Facile,51
50k-100k,Investisseur,<1 an,International,Modérée,>5,Aucun,Autre,Écologique,Oui,1-3 ans,Facile,30
50k-100k,Fonds propres,>3 ans,Régional,Faible,<5,Qualité,Autre,Neutre,Non,>3 ans,Facile,95
50k-100k,Fonds propres,1-3 ans,National,Modérée,Aucun,Innovation,Amélioration conditions de vie,Écologique,Oui,<1 an,Difficile,96
>100k,Fonds propres,>3 ans,International,Modérée,Aucun,Aucun,Aucun,Écologique,Non,1-3 ans,Facile,87
<50k,Fonds propres,>3 ans,International,Forte,<5,Qualité,Amélioration conditions de vie,Neutre,Non,<1 an,Facile,81
<50k,Fonds propres,1-3 ans,International,Modérée,>5,Aucun,Aucun,Écologique,Oui,<1 an,Facile,61
<50k,Fonds propres,<1 an,International,Faible,Aucun,Aucun,Création emplois,Écologique,Non,1-3 ans,Facile,67
50k-100k,Fonds propres,1-3 ans,International,Modérée,<5,Innovation,Création emplois,Polluant,Oui,1-3 ans,Difficile,35
50k-100k,Autre,1-3 ans,National,Faible,>5,Innovation,Autre,Neutre,Non,<1 an,Difficile,56
>100k,Autre,1-3 ans,National,Faible,Aucun,Aucun,Création emplois,Écologique,Oui,>3 ans,Difficile,57
50k-100k,Fonds propres,<1 an,National,Faible,Aucun,Innovation,Création emplois,Polluant,Non,1-3 ans,Facile,76
>100k,Investisseur,>3 ans,International,Faible,>5,Innovation,Aucun,Neutre,Oui,>3 ans,Facile,61
>100k,Investisseur,>3 ans,National,Modérée,Aucun,Innovation,Amélioration conditions de vie,Neutre,Oui,>3 ans,Difficile,85
>100k,Prêt bancaire,<1 an,Local,Faible,>5,Qualité,Aucun,Neutre,Oui,<1 an,Facile,95
<50k,Fonds propres,<1 an,International,Forte,<5,Qualité,Création emplois,Écologique,Non,1-3 ans,Difficile,43
50k-100k,Prêt bancaire,1-3 ans,Local,Forte,>5,Aucun,Autre,Écologique,Non,>3 ans,Difficile,80
50k-100k,Investisseur,<1 an,International,Modérée,<5,Innovation,Amélioration conditions de vie,Neutre,Oui,>3 ans,Difficile,33
<50k,Investisseur,<1 an,Local,Forte,>5,Innovation,Amélioration conditions de vie,Polluant,Oui,1-3 ans,Facile,76
50k-100k,Prêt bancaire,<1 an,International,Forte,Aucun,Prix,Création emplois,Polluant,Oui,1-3 ans,Difficile,87
<50k,Autre,>3 ans,Local,Modérée,<5,Prix,Amélioration conditions de vie,Écologique,Non,>3 ans,Facile,42
50k-100k,Prêt bancaire,>3 ans,International,Faible,>5,Prix,Autre,Écologique,Non,<1 an,Facile,39
>100k,Investisseur,1-3 ans,International,Forte,<5,Prix,Création emplois,Neutre,Oui,>3 ans,Difficile,36
>100k,Fonds propres,<1 an,Régional,Modérée,Aucun,Aucun,Autre,Polluant,Non,<1 an,Facile,55
50k-100k,Autre,>3 ans,International,Forte,>5,Aucun,Aucun,Polluant,Non,1-3 ans,Difficile,100
>100k,Autre,>3 ans,Régional,Faible,Aucun,Qualité,Amélioration conditions de vie,Écologique,Oui,<1 an,Difficile,68
>100k,Autre,1-3 ans,National,Faible,<5,Prix,Aucun,Écologique,Non,>3 ans,Difficile,38
50k-100k,Autre,<1 an,Local,Faible,<5,Qualité,Amélioration conditions de vie,Écologique,Oui,1-3 ans,Facile,62
50k-100k,Fonds propres,>3 ans,Local,Forte,<5,Prix,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,51
50k-100k,Autre,<1 an,National,Faible,>5,Prix,Aucun,Polluant,Oui,<1 an,Facile,71
>100k,Fonds propres,<1 an,National,Forte,Aucun,Innovation,Autre,Neutre,Non,<1 an,Facile,71
>100k,Prêt bancaire,1-3 ans,Régional,Modérée,>5,Qualité,Création emplois,Polluant,Oui,1-3 ans,Facile,38
50k-100k,Autre,>3 ans,National,Faible,>5,Innovation,Création emplois,Neutre,Oui,1-3 ans,Facile,72
50k-100k,Prêt bancaire,>3 ans,International,Modérée,>5,Innovation,Amélioration conditions de vie,Neutre,Oui,>3 ans,Facile,99
<50k,Autre,1-3 ans,Local,Modérée,Aucun,Aucun,Autre,Polluant,Non,<1 an,Facile,84
50k-100k,Investisseur,>3 ans,International,Faible,>5,Qualité,Création emplois,Polluant,Oui,1-3 ans,Facile,83
<50k,Investisseur,1-3 ans,Local,Modérée,>5,Innovation,Autre,Neutre,Non,1-3 ans,Facile,33
50k-100k,Autre,<1 an,National,Faible,Aucun,Aucun,Création emplois,Polluant,Non,<1 an,Facile,85
<50k,Autre,>3 ans,International,Forte,Aucun,Prix,Création emplois,Écologique,Non,>3 ans,Facile,41
<50k,Fonds propres,>3 ans,International,Faible,<5,Qualité,Aucun,Écologique,Non,>3 ans,Difficile,40
<50k,Prêt bancaire,>3 ans,National,Modérée,>5,Aucun,Aucun,Écologique,Oui,>3 ans,Facile,97
<50k,Investisseur,<1 an,International,Modérée,Aucun,Prix,Autre,Neutre,Oui,1-3 ans,Facile,86
>100k,Prêt bancaire,1-3 ans,Local,Modérée,>5,Prix,Aucun,Écologique,Non,1-3 ans,Difficile,43
<50k,Autre,1-3 ans,Local,Forte,Aucun,Prix,Aucun,Polluant,Non,>3 ans,Difficile,84
>100k,Autre,1-3 ans,National,Modérée,>5,Qualité,Aucun,Polluant,Non,>3 ans,Difficile,32
50k-100k,Autre,>3 ans,National,Forte,>5,Innovation,Amélioration conditions de vie,Polluant,Oui,<1 an,Facile,43
50k-100k,Investisseur,<1 an,International,Modérée,Aucun,Innovation,Création emplois,Écologique,Oui,<1 an,Difficile,39
>100k,Investisseur,<1 an,Régional,Modérée,>5,Prix,Amélioration conditions de vie,Écologique,Oui,<1 an,Facile,34
50k-100k,Autre,<1 an,National,Modérée,Aucun,Innovation,Aucun,Neutre,Non,1-3 ans,Facile,47
50k-100k,Prêt bancaire,1-3 ans,Régional,Forte,Aucun,Innovation,Création emplois,Écologique,Oui,>3 ans,Difficile,38
<50k,Fonds propres,<1 an,International,Faible,Aucun,Aucun,Aucun,Neutre,Non,1-3 ans,Difficile,51
<50k,Fonds propres,>3 ans,International,Faible,Aucun,Qualité,Amélioration conditions de vie,Écologique,Non,1-3 ans,Facile,45
>100k,Investisseur,1-3 ans,Local,Faible,<5,Qualité,Création emplois,Écologique,Oui,>3 ans,Difficile,70
>100k,Autre,>3 ans,International,Modérée,<5,Qualité,Aucun,Polluant,Oui,>3 ans,Difficile,64
50k-100k,Investisseur,>3 ans,National,Forte,>5,Prix,Aucun,Écologique,Non,1-3 ans,Facile,63
